stage,item,count,counting_unit
repository_search_hits,dryad,722,repository_records
repository_search_hits,mendeley,15260,repository_records
repository_search_hits,kaggle,2155,repository_records
repository_search_hits,figshare,319,repository_records
repository_search_hits,huggingface,281,repository_records
excluded_after_record_review,excluded_not_eye_or_ophthalmology,16126,repository_records
excluded_after_record_review,excluded_duplicate_or_alternate_deposit,221,repository_records
excluded_after_record_review,excluded_not_distinct_reusable_resource,485,repository_records
excluded_after_record_review,excluded_insufficient_source_metadata,1051,repository_records
excluded_after_record_review,excluded_nonhuman_or_nonhuman_derived,165,repository_records
excluded_after_record_review,excluded_not_suitable_for_model_training_or_evaluation,376,repository_records
eligible_repository_hits,eligible_after_screening,313,repository_records
canonical_reconciliation,unique_catalog_records_represented_by_repository_searches,313,canonical_catalog_records
other_documented_search_routes,additional_records_from_publications_projects_github_challenges_and_other_official_sources,162,canonical_catalog_records
final_catalog,unique_catalog_records,475,canonical_catalog_records
