record_id,represented_by_eligible_repository_hit,repository_search_sources,flow_source_group
acrima,false,[],other_documented_search_routes
adam_challenge,false,[],other_documented_search_routes
afio_fundus_vessels,true,"[""mendeley""]",five_repository_searches
agar300,false,[],other_documented_search_routes
age_challenge,false,[],other_documented_search_routes
airogs,false,[],other_documented_search_routes
amd_dme_3d_oct,true,"[""figshare""]",five_repository_searches
amd_sd,true,"[""kaggle""]",five_repository_searches
amdnet23,true,"[""mendeley""]",five_repository_searches
angioreport,false,[],other_documented_search_routes
anterior_segment_smile,true,"[""mendeley""]",five_repository_searches
anterior_uveitis_corneal_endothelium,true,"[""figshare""]",five_repository_searches
aod,true,"[""kaggle""]",five_repository_searches
aptos2019,false,[],other_documented_search_routes
aptos_arcade_onh_masks,false,[],other_documented_search_routes
aqp4_optic_neuritis_oct_layers,true,"[""figshare""]",five_repository_searches
aroi,false,[],other_documented_search_routes
aroma_octa,false,[],other_documented_search_routes
as_oct_keratitis,false,[],other_documented_search_routes
asd_eye_tracking,true,"[""figshare""]",five_repository_searches
bajwa_multi_eye,true,"[""mendeley""]",five_repository_searches
beh,false,[],other_documented_search_routes
belo,false,[],other_documented_search_routes
bidr,true,"[""kaggle""]",five_repository_searches
binocular_fundus_images,true,"[""figshare""]",five_repository_searches
birdshot_wide,false,[],other_documented_search_routes
bmrd,true,"[""mendeley""]",five_repository_searches
brasil_glaucoma_brg,true,"[""kaggle""]",five_repository_searches
brset,false,[],other_documented_search_routes
brset_mbrset_embeddings,false,[],other_documented_search_routes
cadis,false,[],other_documented_search_routes
casia2_as_oct_repeatability,true,"[""figshare""]",five_repository_searches
casia2_keratometric_astigmatism,true,"[""figshare""]",five_repository_searches
casia_iris_v4,false,[],other_documented_search_routes
cataract,true,"[""kaggle""]",five_repository_searches
cataract101_extended_labels,false,[],other_documented_search_routes
cataract1k,false,[],other_documented_search_routes
cataract_101,false,[],other_documented_search_routes
cataract_iol_biometry_outcomes,true,"[""figshare""]",five_repository_searches
cataract_lenstar_biometric_symmetry,true,"[""figshare""]",five_repository_searches
cataract_lmm,true,"[""huggingface""]",five_repository_searches
cataracts2017,false,[],other_documented_search_routes
cavri,false,[],other_documented_search_routes
central_retinal_vessel_trunk_oag,true,"[""figshare""]",five_repository_searches
chaksu,true,"[""figshare""]",five_repository_searches
chase_db1,false,[],other_documented_search_routes
china_fundus_cimt,true,"[""figshare""]",five_repository_searches
chronic_corneal_disorders,true,"[""mendeley""]",five_repository_searches
coph100,true,"[""figshare""]",five_repository_searches
corn1500,false,[],other_documented_search_routes
corn_collection,false,[],other_documented_search_routes
corn_pro,false,[],other_documented_search_routes
corneal_curvature_fundus,true,"[""mendeley""]",five_repository_searches
corneal_epithelium_confocal,true,"[""mendeley""]",five_repository_searches
corneal_nerve_parkinsons,true,"[""figshare""]",five_repository_searches
corneal_parameters_kc,true,"[""mendeley""]",five_repository_searches
corneal_tomography_iol,true,"[""mendeley""]",five_repository_searches
cornorb,false,[],other_documented_search_routes
csc_fundus_segmentation,true,"[""mendeley""]",five_repository_searches
csdi,false,[],other_documented_search_routes
cyp1b1_poag_genotypes,true,"[""figshare""]",five_repository_searches
data_oct_fundus_glaucoma,true,"[""mendeley""]",five_repository_searches
ddr,false,[],other_documented_search_routes
deepdrid,false,[],other_documented_search_routes
deepeyenet,false,[],other_documented_search_routes
dme_vqa,false,[],other_documented_search_routes
dme_vqa_logical,false,[],other_documented_search_routes
doomgan_ocular_morphs,true,"[""huggingface""]",five_repository_searches
dr_arranged,false,[],other_documented_search_routes
drac22,false,[],other_documented_search_routes
dridb,false,[],other_documented_search_routes
drions_db,false,[],other_documented_search_routes
drishti_gs,true,"[""kaggle""]",five_repository_searches
drive,false,[],other_documented_search_routes
drtid,false,[],other_documented_search_routes
dryad_acanthamoeba_keratitis_transcriptome,true,"[""dryad""]",five_repository_searches
dryad_amd_zinc_complement,true,"[""dryad""]",five_repository_searches
dryad_aoslo_rpe,true,"[""dryad""]",five_repository_searches
dryad_bariatric_ophthalmology,true,"[""dryad""]",five_repository_searches
dryad_brvo_bevacizumab_multimodal,true,"[""dryad""]",five_repository_searches
dryad_clcc1_retinitis_pigmentosa,true,"[""dryad""]",five_repository_searches
dryad_congenital_cataract_sight_restoration,true,"[""dryad""]",five_repository_searches
dryad_congenital_glaucoma_wes,true,"[""dryad""]",five_repository_searches
dryad_cornea_oct_pentacam,true,"[""dryad""]",five_repository_searches
dryad_corneal_biomechanics_prostaglandin,true,"[""dryad""]",five_repository_searches
dryad_corneal_conjunctivitis_biomarker,true,"[""dryad""]",five_repository_searches
dryad_corneal_laser_procedure,true,"[""dryad""]",five_repository_searches
dryad_crvo_vegf_tortuosity,true,"[""dryad""]",five_repository_searches
dryad_d1zd5s,true,"[""dryad""]",five_repository_searches
dryad_diabetes_retinal_capillary,true,"[""dryad""]",five_repository_searches
dryad_diabetic_retinopathy_renal,true,"[""dryad""]",five_repository_searches
dryad_dome_shaped_macula,true,"[""dryad""]",five_repository_searches
dryad_dry_eye_nlrp3,true,"[""dryad""]",five_repository_searches
dryad_eye_care_quality_of_life,true,"[""dryad""]",five_repository_searches
dryad_functional_oct_alzheimer,true,"[""dryad""]",five_repository_searches
dryad_fundus_venous_pulsation,true,"[""dryad""]",five_repository_searches
dryad_fungal_keratitis_cci,true,"[""dryad""]",five_repository_searches
dryad_ga_biofeedback,true,"[""dryad""]",five_repository_searches
dryad_gca_optic_nerve_dwi,true,"[""dryad""]",five_repository_searches
dryad_gcc_glaucoma,true,"[""dryad""]",five_repository_searches
dryad_glaucoma_lhon_mitochondrial,true,"[""dryad""]",five_repository_searches
dryad_glaucoma_rnfl_vf,true,"[""dryad""]",five_repository_searches
dryad_human_foveal_cones,true,"[""dryad""]",five_repository_searches
dryad_huntingtons_retinal_oct,true,"[""dryad""]",five_repository_searches
dryad_icmr_eye_see_cataract,true,"[""dryad""]",five_repository_searches
dryad_iris_surface_features,true,"[""dryad""]",five_repository_searches
dryad_karachi_cataract_outcomes,true,"[""dryad""]",five_repository_searches
dryad_lens_fluorescence_twins,true,"[""dryad""]",five_repository_searches
dryad_lvpei_cataract_outcomes,true,"[""dryad""]",five_repository_searches
dryad_moorfields_amd_1_2_year,true,"[""dryad""]",five_repository_searches
dryad_moorfields_namd_fellow_eye,true,"[""dryad""]",five_repository_searches
dryad_myopia_glaucoma_visual_field,true,"[""dryad""]",five_repository_searches
dryad_namd_12_year_survival,true,"[""dryad""]",five_repository_searches
dryad_namd_oct_longitudinal,true,"[""dryad""]",five_repository_searches
dryad_namd_oct_quant,true,"[""dryad""]",five_repository_searches
dryad_namd_ten_year_survival,true,"[""dryad""]",five_repository_searches
dryad_namd_visual_prediction,true,"[""dryad""]",five_repository_searches
dryad_nigeria_cataract_services,true,"[""dryad""]",five_repository_searches
dryad_ocular_chemical_injuries_shanghai,true,"[""dryad""]",five_repository_searches
dryad_ocular_surface_amr,true,"[""dryad""]",five_repository_searches
dryad_optic_neuritis_metacontrast,true,"[""dryad""]",five_repository_searches
dryad_pediatric_corneal_endothelium,true,"[""dryad""]",five_repository_searches
dryad_pediatric_myopia_longitudinal,true,"[""dryad""]",five_repository_searches
dryad_pediatric_optical_quality,true,"[""dryad""]",five_repository_searches
dryad_pediatric_secondary_iol,true,"[""dryad""]",five_repository_searches
dryad_pk31jt2,true,"[""dryad""]",five_repository_searches
dryad_pnvx0k6hv,true,"[""dryad""]",five_repository_searches
dryad_preeclampsia_ocular_octa,true,"[""dryad""]",five_repository_searches
dryad_pvd_diagnostic_oct,true,"[""dryad""]",five_repository_searches
dryad_pzgmsbcfw,true,"[""dryad""]",five_repository_searches
dryad_qfttdz0dr,true,"[""dryad""]",five_repository_searches
dryad_r7s04,true,"[""dryad""]",five_repository_searches
dryad_rao_multiomics,true,"[""dryad""]",five_repository_searches
dryad_ravi_cataract_outcomes,true,"[""dryad""]",five_repository_searches
