record_id,canonical_name,modalities,download_type,selection,estimated_size_gb,existing_file_count,existing_recognized,route_check_result,acquisition_status,transfer_started,downloaded_file_count,downloaded_size_bytes,load_status,load_split,loaded_sample_count,sample_path_exists,image_decode_status,scratch_cleanup_status,record_completed
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,fundus,figshare,preflight_blocked,0.5,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
adam_challenge,ADAM — Automatic Detection of AMD Challenge,fundus,gdrive,route_check_only,1.5,0,False,passed_landing_page,not_run_route_check_only,False,,,not_run,,,,,,True
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,fundus,mendeley,excluded_known_platform,0.2,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
agar300,AGAR300 Microaneurysm Fundus Image Dataset,fundus,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
age_challenge,AGE — Angle-Closure Glaucoma Evaluation Challenge (AS-OCT),oct,gdrive,route_check_only,1.2,0,False,passed_landing_page,not_run_route_check_only,False,,,not_run,,,,,,True
airogs,AIROGS: AI for Robust Glaucoma Screening,fundus,direct,preflight_blocked,40.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
amd_dme_3d_oct,Comprehensive 3D OCT Dataset for AMD and DME,oct,figshare,eligible_download,19.65,0,False,not_applicable,completed,True,297,59343568840,not_implemented,all,,,not_applicable,removed,True
amd_sd,AMD-SD: OCT Wet AMD Lesion Segmentation Dataset,oct,kaggle,excluded_known_platform,2.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,fundus,mendeley,excluded_known_platform,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
angioreport,AngioReport Fundus Angiography Report Dataset,fundus|fundus_angiography|text,manual,preflight_blocked,,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
anterior_segment_smile,Anterior Segment Parameters After SMILE Surgery,tabular,mendeley,excluded_known_platform,0.01,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
aod,AOD: Augmented Ocular Diseases Dataset,fundus,kaggle,excluded_known_platform,2.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
aptos2019,APTOS 2019 Blindness Detection,fundus,kaggle,excluded_known_platform,9.0,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,fundus,zenodo,excluded_known_platform,0.1,0,False,not_applicable,not_run_excluded_or_blocked,False,,,not_run_no_existing_data,,,,,,True
aroi,AROI: Annotated Retinal OCT Images Database,oct,gdrive,route_check_only,0.5,6781,True,passed_landing_page,not_run_route_check_only,False,,,passed,train,6780,True,passed,,True
