record_id,dataset_doi,source_version,expected_file_count,expected_bytes,inspection_level,complete_deposit_downloaded_for_structure_review,acquired_file_count_after_extraction,acquired_bytes_after_extraction,file_extension_counts_json,local_files_retained
dryad_5xfad_retina_dlgn,10.5061/dryad.dbrv15fbk,2,2,108816,complete_current_deposit_structurally_inspected,True,2,108816,"{"".md"": 1, "".xlsx"": 1}",False
dryad_acanthamoeba_keratitis_transcriptome,10.5061/dryad.k3j9kd5fx,4,4,5160475,complete_current_deposit_structurally_inspected,True,4,5160475,"{"".csv"": 2, "".md"": 1, "".txt"": 1}",False
dryad_amd_zinc_complement,10.5061/dryad.3gq6t,1,2,62634,complete_current_deposit_structurally_inspected,True,2,62634,"{"".txt"": 1, "".xls"": 1}",False
dryad_angle_closure_rabbit,10.5061/dryad.ks48tt4,1,21,133769410,complete_official_file_listing,False,,,"{"".jpg"": 5, "".tif"": 13, "".xlsx"": 3}",False
dryad_aoslo_rpe,10.5061/dryad.b41j15h,1,20,84397437,complete_official_file_listing,False,,,"{"".txt"": 10, "".zip"": 10}",False
dryad_bariatric_ophthalmology,10.5061/dryad.1g6vm34,1,1,32456,complete_current_deposit_structurally_inspected,True,1,32456,"{"".xlsx"": 1}",False
dryad_bbs1_retinal_degeneration,10.5061/dryad.2rbnzs7jm,6,1,58847,complete_current_deposit_structurally_inspected,True,1,58847,"{"".xlsx"": 1}",False
dryad_biocular_eye_tracking,10.5061/dryad.84hc0,1,2,108554,complete_current_deposit_structurally_inspected,True,2,108554,"{"".xlsx"": 2}",False
dryad_brvo_bevacizumab_multimodal,10.5061/dryad.3cp54,1,3,61440336,complete_official_file_listing,False,,,"{"".rar"": 3}",False
dryad_canine_pra_cea_genotypes,10.5061/dryad.6djh9w17c,5,2,5825605,complete_current_deposit_structurally_inspected,True,2,5825605,"{"".md"": 1, "".xlsx"": 1}",False
dryad_clcc1_retinitis_pigmentosa,10.5061/dryad.3vv31qq,1,1,36607394,complete_current_deposit_structurally_inspected,True,1,36607394,"{"".zip"": 1}",False
dryad_cone_synapse_computation,10.5061/dryad.0p2ngf25g,8,4,11191747623,complete_official_file_listing,False,,,"{"".md"": 1, "".zip"": 3}",False
