record_id,canonical_name,provider,official_source_url,dataset_identifier,catalog_deposit_version,observed_deposit_version,version_matches_catalog,listing_result,expected_file_count,expected_bytes,file_index,file_path,file_bytes,mime_type,source_checksum_type,source_checksum_available,source_status,notes
anterior_uveitis_corneal_endothelium,Anterior Uveitis Corneal Endothelium Dataset,figshare,https://doi.org/10.6084/m9.figshare.32054064.v1,32054064,1,1,True,official_file_listing_confirmed,1,76212,1,dataset_uveitis_endothelium.xlsx,76212,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
aqp4_optic_neuritis_oct_layers,AQP4 Optic Neuritis OCT Layers Dataset,figshare,https://doi.org/10.6084/m9.figshare.3209908.v1,3209908,1,1,True,official_file_listing_confirmed,1,254659,1,data base.rar,254659,application/x-rar,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
asd_eye_tracking,Autism Spectrum Disorder Eye-Tracking Dataset,figshare,https://doi.org/10.6084/m9.figshare.20113592.v1,20113592,1,1,True,official_file_listing_confirmed,1,146058143,1,Eye-Tracking Dataset.zip,146058143,application/zip,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
casia2_as_oct_repeatability,CASIA2 Anterior-Segment OCT Repeatability Dataset,figshare,https://doi.org/10.6084/m9.figshare.29302664.v1,29302664,1,1,True,official_file_listing_confirmed,1,374236,1,MinimalDataset_TomeyCasia2Repeatability.xlsx,374236,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
casia2_keratometric_astigmatism,CASIA2 Keratometric Astigmatism Dataset,figshare,https://doi.org/10.6084/m9.figshare.26395018.v1,26395018,1,1,True,official_file_listing_confirmed,1,86855,1,Pantanelli_MinimalDataset.xlsx,86855,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
cataract_iol_biometry_outcomes,Cataract IOL Biometry and Outcomes Dataset,figshare,https://doi.org/10.6084/m9.figshare.22736687.v1,22736687,1,1,True,official_file_listing_confirmed,1,46966,1,Minimal dataset for PONE-D-2304227 Predictions of corneal power vectors.xlsx,46966,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
cataract_lenstar_biometric_symmetry,Cataract LenStar Biometric Symmetry Dataset,figshare,https://doi.org/10.6084/m9.figshare.32833895.v1,32833895,1,1,True,official_file_listing_confirmed,1,5038414,1,MinimalDatasetSymmetryLenStar.xlsx,5038414,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
corneal_nerve_parkinsons,Corneal Nerve Parkinson Disease Dataset,figshare,https://doi.org/10.6084/m9.figshare.28189571.v1,28189571,1,1,True,official_file_listing_confirmed,1,33952,1,PPD_excel(clean1-53).xlsx,33952,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
cyp1b1_poag_genotypes,CYP1B1 Primary Open-Angle Glaucoma Genotype Dataset,figshare,https://doi.org/10.25451/flinders.16545561.v1,16545561,1,1,True,official_file_listing_confirmed,2,88698,1,cyp1b1cleaned3.map,164,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
cyp1b1_poag_genotypes,CYP1B1 Primary Open-Angle Glaucoma Genotype Dataset,figshare,https://doi.org/10.25451/flinders.16545561.v1,16545561,1,1,True,official_file_listing_confirmed,2,88698,2,cyp1b1cleaned3.ped,88534,text/plain,md5,True,repository_file,Official version-specific Figshare file listing reviewed.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,dryad,https://doi.org/10.5061/dryad.k3j9kd5fx,10.5061/dryad.k3j9kd5fx,4,4,True,official_file_listing_confirmed,4,5160475,1,conj_transcriptome_metadata.csv,514,text/csv,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,dryad,https://doi.org/10.5061/dryad.k3j9kd5fx,10.5061/dryad.k3j9kd5fx,4,4,True,official_file_listing_confirmed,4,5160475,2,conj_transcriptome_stringtie2_counts_md5-9660d96d.csv,3714941,text/csv,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,dryad,https://doi.org/10.5061/dryad.k3j9kd5fx,10.5061/dryad.k3j9kd5fx,4,4,True,official_file_listing_confirmed,4,5160475,3,ENSG_ID2Name.txt,1443551,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_acanthamoeba_keratitis_transcriptome,Human conjunctival transcriptome in Acanthamoeba keratitis: An exploratory study,dryad,https://doi.org/10.5061/dryad.k3j9kd5fx,10.5061/dryad.k3j9kd5fx,4,4,True,official_file_listing_confirmed,4,5160475,4,README.md,1469,text/markdown,sha-256,True,created,Official current-version metadata and file listing reviewed.
dryad_clcc1_retinitis_pigmentosa,CLCC1 Retinitis Pigmentosa Genomics Dataset,dryad,https://doi.org/10.5061/dryad.3vv31qq,10.5061/dryad.3vv31qq,1,1,True,official_file_listing_confirmed,1,36607394,1,Raw data.zip,36607394,application/zip,md5,True,created,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,1,demographics_cataract.txt,524,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,2,developmental.txt,5982,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,3,ethiopian_controls_exp1.txt,254,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,4,ethiopian_controls_exp2.txt,424,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,5,Exp1.txt,892,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,6,Exp2_3groups.txt,4834,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,7,Exp2_development.txt,4834,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,8,OF_cataracts.m,4171,,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,9,OF_developmental_population.m,2427,,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,10,patmodel.txt,4682,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_congenital_cataract_sight_restoration,Congenital Cataract Sight Restoration Dataset,dryad,https://doi.org/10.5061/dryad.0gb5mkm9b,10.5061/dryad.0gb5mkm9b,13,13,True,official_file_listing_confirmed,11,31105,11,README.md,2081,text/markdown,sha-256,True,created,Official current-version metadata and file listing reviewed.
dryad_corneal_biomechanics_prostaglandin,Changes in corneal biomechanical properties after long-term topical prostaglandin therapy,dryad,https://doi.org/10.5061/dryad.d35s0,10.5061/dryad.d35s0,1,1,True,official_file_listing_confirmed,1,55426,1,Na Wu-corvis primary data.xlsx,55426,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,md5,True,created,Official current-version metadata and file listing reviewed.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,dryad,https://doi.org/10.5061/dryad.4j0zpc8mm,10.5061/dryad.4j0zpc8mm,3,3,True,official_file_listing_confirmed,4,8983041,1,biomarker_detection_count_data_md5-9b4b21f9.csv,8582094,text/csv,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,dryad,https://doi.org/10.5061/dryad.4j0zpc8mm,10.5061/dryad.4j0zpc8mm,3,3,True,official_file_listing_confirmed,4,8983041,2,biomarker_detection_sample_table_md5-7bd7fef2.csv,2584,text/csv,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,dryad,https://doi.org/10.5061/dryad.4j0zpc8mm,10.5061/dryad.4j0zpc8mm,3,3,True,official_file_listing_confirmed,4,8983041,3,ENSG_ID2Name.txt.zip,395477,application/zip,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_corneal_conjunctivitis_biomarker,Corneal Conjunctivitis Biomarker Dataset,dryad,https://doi.org/10.5061/dryad.4j0zpc8mm,10.5061/dryad.4j0zpc8mm,3,3,True,official_file_listing_confirmed,4,8983041,4,README.md,2886,text/markdown,sha-256,True,created,Official current-version metadata and file listing reviewed.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,dryad,https://doi.org/10.5068/d1zd5s,10.5068/d1zd5s,9,9,True,official_file_listing_confirmed,4,43985647,1,AEP_filtered_gene_bc_matrices_h5.h5,10466350,,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,dryad,https://doi.org/10.5068/d1zd5s,10.5068/d1zd5s,9,9,True,official_file_listing_confirmed,4,43985647,2,DATASET_Readme.txt,9354,text/plain,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,dryad,https://doi.org/10.5068/d1zd5s,10.5068/d1zd5s,9,9,True,official_file_listing_confirmed,4,43985647,3,GFP_filtered_gene_bc_matrices_h5.h5,14629900,,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_d1zd5s,Single cell transcriptomic analyses reveal the impact of bHLH factors on human retinal organoid development,dryad,https://doi.org/10.5068/d1zd5s,10.5068/d1zd5s,9,9,True,official_file_listing_confirmed,4,43985647,4,NEP_filtered_gene_bc_matrices_h5.h5,18880043,,sha-256,True,copied,Official current-version metadata and file listing reviewed.
dryad_fundus_venous_pulsation,Fundus Venous Pulsation Sequence Dataset,dryad,https://doi.org/10.5061/dryad.56f1h,10.5061/dryad.56f1h,1,1,True,official_file_listing_confirmed,2,118583295,1,Movies_Raw.zip,118581675,application/zip,md5,True,created,Official current-version metadata and file listing reviewed.
