name,full_name,modality,tasks,num_samples,size_gb,license,license_family,download_type,download_url,geography,scanner_device,age_range,sex_distribution,ethnicity,num_patients
dryad_aoslo_rpe,AOSLO RPE Cell Morphometry and Cone Mosaic Dataset,adaptive_optics,segmentation|measurement,10.0,0.084,CC0 1.0,cc0,dryad,https://doi.org/10.5061/dryad.b41j15h,,,,,,
goblet_cell_segmentation,Human Conjunctival Goblet Cell Segmentation Dataset,cell_microscopy,segmentation|counting,24.0,0.514,CC BY 4.0,cc-by,zenodo,https://doi.org/10.5281/zenodo.18642562,,,,,,
corn_collection,CORN: Corneal Confocal Microscope Dataset Collection,confocal,segmentation|grading|classification|quality,,,Creative Commons Attribution 4.0 International,cc-by,manual,https://zenodo.org/records/19689814,,,,,,
corn_pro,CORN Pro: Corneal Nerve Confocal Microscopy Dataset,confocal,segmentation|grading|classification,688.0,0.5,CC BY 4.0,cc-by,manual,https://zenodo.org/records/14263883,,,,,,
corneal_epithelium_confocal,Keratoconus Corneal Epithelium Confocal Fluorescence Dataset,confocal,classification|segmentation,7.0,0.1,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/n3gky25brh/2,,,,,,
cornorb,CornOrb: Orbscan Corneal Topography and Clinical Annotations,corneal_topography,classification,1454.0,0.68,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/20542091,,,,,,
leops_erg,LEOPs Light-Adapted Electroretinogram and Oscillatory Potentials Dataset,electrophysiology,classification|regression,9743.0,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/w3yx7hdds7/1,,,,,,
perg_ioba,PERG-IOBA Ocular Electrophysiology Dataset,electrophysiology,classification|regression,1354.0,0.1,ODC-BY 1.0 (Open Data Commons Attribution),odc-by,physionet,https://physionet.org/content/perg-ioba-dataset/1.0.0/,,,,,,
external_eye_blepharitis,External Eye Photographs for Screening Referable Blepharitis,external_eye,classification,,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/bp37vw4z8d/1,,,,,,
eye_conjunctiva_segmentation,Eye Conjunctiva Segmentation Dataset,external_eye,segmentation,547.0,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/yxwjgcndg2/1,,,,,,
periorbital_segmentation,Open-Source Periorbital Segmentation Dataset,external_eye,segmentation|measurement,2842.0,0.19,CC BY 4.0,cc-by,zenodo,https://doi.org/10.5281/zenodo.13916845,,,,,,
popeye_nir,PopEYE Infrared Ocular Image Dataset,external_eye,classification,14976.0,3.0,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/18430187,,,,,,
thyroid_ophthalmopathy_external,Thyroid Ophthalmopathy External Ocular Images,external_eye,classification,,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/z7ys7r4bdn/2,,,,,,
glaucoma_eye_movements,Eye Movements of Glaucoma Patients with Asymmetrical Visual Field Loss,eye_tracking,regression|classification,270.0,0.1,CC BY 4.0,cc-by,zenodo,https://zenodo.org/records/7761477,,,,,,
acrima,ACRIMA: Glaucoma Optic Disc Fundus Database,fundus,classification,705.0,0.5,CC BY 4.0,cc-by,figshare,https://figshare.com/s/c2d31f850af14c5b5232,Spain (Madrid — Hospital Clínico San Carlos; processed at Universitat Politècnica de València),Topcon TRC-NW8 (45° non-mydriatic),not reported,not reported,Spanish,705.0
afio_fundus_vessels,AFIO Fundus Images for Vessel Segmentation and Disease Annotation,fundus,segmentation|classification,100.0,0.2,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/3csr652p9y/2,,,,,,
agar300,AGAR300 Microaneurysm Fundus Image Dataset,fundus,lesion_detection,28.0,,CC BY 4.0,cc-by,manual,https://ieee-dataport.org/open-access/diabetic-retinopathy-fundus-image-datasetagar300,,,,,,
amdnet23,AMDNet23 Fundus Image Dataset for AMD Detection,fundus,classification,2000.0,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/yj35kjgrv3/1,,,,,,
aptos_arcade_onh_masks,APTOS Vascular Arcade and Optic Nerve Head Masks,fundus,segmentation,500.0,0.1,Apache-2.0,apache,zenodo,https://zenodo.org/records/20711325,,,,,,
bajwa_multi_eye,Bajwa Hospital Multi Eye Disease Dataset,fundus,classification,300.0,0.2,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/rgwpd4m785/3,,,,,,
bmrd,Bangladesh Multi-Disease Retinal Dataset,fundus,classification|grading,1786.0,,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/959whsbc6v/1,,,,,,
chaksu,CHAKSU: Multi-Device Glaucoma Fundus Dataset,fundus,classification|segmentation,1345.0,5.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.20123135,,,,,,
chase_db1,CHASE_DB1: Child Heart and Health Study in England,fundus,segmentation,28.0,0.05,CC BY 4.0,cc-by,manual,https://researchinnovation.kingston.ac.uk/en/datasets/chasedb1-retinal-vessel-reference-dataset-4/,"United Kingdom (Kingston, England)","Nikon D3, 30° FOV (handheld fundus camera); NM-200D",9–11 years (schoolchildren),mixed,multi-ethnic UK schoolchildren,28.0
coph100,COph100: Comprehensive Infant Fundus Image Registration Dataset (RIDIRP),fundus,regression|segmentation,982.0,1.0,CC BY 4.0,cc-by,figshare,https://doi.org/10.6084/m9.figshare.27061084.v1,,,,,,
corneal_curvature_fundus,Corneal Curvature Prediction Using Fundus Photography,fundus,classification|regression,150.0,0.1,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/bc2jfr7dv9/1,,,,,,
csc_fundus_segmentation,Central Serous Chorioretinopathy Fundus Segmentation Dataset,fundus,segmentation|classification,287.0,0.5,CC BY 4.0,cc-by,mendeley,https://data.mendeley.com/datasets/4k64fwnp4k/5,,,,,,
csdi,CSDI: Cataract Severity Diagnostic Image Dataset,fundus,grading|classification,187.0,1.0,CC BY 4.0,cc-by,huggingface,https://huggingface.co/datasets/RainyNight/CSDI,,,,,,
ddr,DDR: Diabetic Retinopathy Detection & Grading,fundus,grading|classification,12522.0,4.0,MIT,mit,gdrive,https://drive.google.com/drive/folders/1z6tSFmxW_aNayUqVxx6h6bY4kwGzUTEC,"China (multi-center, Tianjin/Jinan hospitals)",Canon CR-2 and Topcon NW400 (non-mydriatic),not reported,not reported,Chinese,12522.0
deepdrid,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,fundus,grading|classification|quality,2256.0,3.0,CC BY-SA 4.0,cc-by-sa,zenodo,https://zenodo.org/records/8248825,"China (multi-centre — Shenzhen, Guangzhou, Chengdu)","Zeiss Visucam 500, Topcon TRC-50DX (dual-view 45°); Optos 200Tx (UWF subset)",20–90 years (diabetic patients),~50% female,Chinese,1600.0
